iter	Logloss
0	0.5754268768
1	0.49234695
2	0.4336820838
3	0.3853907987
4	0.3512578981
5	0.329685913
6	0.3076911733
7	0.2948329922
8	0.2832673541
9	0.2716565011
10	0.2636993483
11	0.2562641883
12	0.2506995837
13	0.2440448053
14	0.2399620374
15	0.2353408826
16	0.2321927062
17	0.2275403102
18	0.2245047718
19	0.220554854
20	0.2179821448
21	0.2150032499
22	0.211595961
23	0.2082620466
24	0.206396145
25	0.2035077548
26	0.2009966796
27	0.1982939152
28	0.1971034177
29	0.1945411264
30	0.1913080598
31	0.1892468881
32	0.1870205022
33	0.1850768843
34	0.1820411214
35	0.1800018835
36	0.1777639319
37	0.1760888462
38	0.1739143877
39	0.1728409075
40	0.1713287279
41	0.1692961648
42	0.1680416628
43	0.167038675
44	0.1653912498
45	0.1633492046
46	0.1621714083
47	0.1610944347
48	0.1591128383
49	0.157526598
50	0.1559161157
51	0.1545183583
52	0.1523950535
53	0.149887347
54	0.1483066462
55	0.1471881508
56	0.145795072
57	0.144989887
58	0.1435439327
59	0.142448968
60	0.140719048
61	0.1394027248
62	0.1375655566
63	0.1366391123
64	0.1357585941
65	0.134401036
66	0.133318161
67	0.1319378707
68	0.1304475249
69	0.1296796697
70	0.1282008897
71	0.1267460896
72	0.1257900634
73	0.124362225
74	0.1231497065
75	0.1224964357
76	0.1218340695
77	0.1209037325
78	0.1202280788
79	0.1195407721
80	0.1190427092
81	0.1179850369
82	0.1175982022
83	0.1167278149
84	0.1155375545
85	0.1148300109
86	0.1134342122
87	0.1125336691
88	0.1117418715
89	0.1113355236
90	0.1106150168
91	0.1096675495
92	0.1086879677
93	0.1076777935
94	0.1070635617
95	0.1063924994
96	0.1057643688
97	0.1050289276
98	0.104167043
99	0.1032907232
100	0.1027388616
101	0.1015288259
102	0.1007570842
103	0.1001096587
104	0.09931292031
105	0.0988905463
106	0.09828510425
107	0.09724630885
108	0.09675455912
109	0.096192735
110	0.09538140535
111	0.094440638
112	0.09371552736
113	0.09319788885
114	0.09202772813
115	0.09159446211
116	0.09073088077
117	0.08990694359
118	0.08915811509
119	0.08861718291
120	0.08783964592
121	0.08706563979
122	0.08646454581
123	0.08569291022
124	0.0853182402
125	0.0843051402
126	0.08368551858
127	0.08308350757
128	0.08257036061
129	0.08230193443
130	0.08205687678
131	0.0813926204
132	0.08081780821
133	0.08050122889
134	0.08010694577
135	0.07969338019
136	0.07913287858
137	0.07862943835
138	0.0782434646
139	0.07794725944
140	0.07753918976
141	0.07687314923
142	0.07650998257
143	0.07614345348
144	0.07583448483
145	0.07528787583
146	0.07477459163
147	0.07444166806
148	0.07405487085
149	0.0734982744
150	0.07318851349
151	0.07279531583
152	0.0724315191
153	0.0721343782
154	0.07155496218
155	0.07121431564
156	0.07093311974
157	0.07054909857
158	0.07030548819
159	0.06998171615
160	0.06957380867
161	0.06910388039
162	0.06868078274
163	0.06840948696
164	0.06771070803
165	0.06707204724
166	0.06658230623
167	0.06621623254
168	0.0656786503
169	0.06525899617
170	0.06506375105
171	0.06481191864
172	0.06458001749
173	0.0644144852
174	0.06396044578
175	0.06360184552
176	0.06329605215
177	0.06294836885
178	0.06276382858
179	0.0624507614
180	0.06220985843
